figure,cross-section_name,id,sample,unit,lithology,longitude,latitude,elevation,age,pooled_age,mean_age,age_error_1s,age_error_pooled_1s,age_error_mean_1s,age_error_2s_plus,age_error_2s_minus,system,reference
,,,F04,,orthogneiss,89.459331,26.907234,1751,1.4,,,0.6,,,,,AFT,Grujic_2006(Geology)*2
,,,F07,,quartzite,89.552425,27.189091,2153,3.5,,,0.6,,,,,AFT,Grujic_2006(Geology)*2
,,,F06,,gneiss,89.557211,27.065828,1545,6.5,,,0.8,,,,,AFT,Grujic_2006(Geology)*2
,,,F05,,paragneiss,89.574151,27.02737,1881,6.7,,,0.8,,,,,AFT,Grujic_2006(Geology)*2
,,,F17,,paragneiss,89.695204,27.441718,2524,2.6,,,0.6,,,,,AFT,Grujic_2006(Geology)*2
,,,F08,,gneiss,89.748838,27.490287,3113,4.1,,,0.7,,,,,AFT,Grujic_2006(Geology)*2
,,,BH171,,migmatite,89.77081,27.69294,1440,2.3,,,0.5,,,,,AFT,Grujic_2006(Geology)*2
,,,F09,,gneiss,89.796,27.5124,1953,3.7,,,0.7,,,,,AFT,Grujic_2006(Geology)*2
,,,F14,,gneiss,89.906482,27.450639,1192,2.8,,,0.7,,,,,AFT,Grujic_2006(Geology)*2
,,,F10,,gneiss,89.911594,27.363505,1044,3.8,,,0.6,,,,,AFT,Grujic_2006(Geology)*2
,,,F16,,Augen gneiss,89.96202,27.506429,1399,2.2,,,0.5,,,,,AFT,Grujic_2006(Geology)*2
,,,F13,,paragneiss,89.986095,27.29079,881,1.4,,,0.5,,,,,AFT,Grujic_2006(Geology)*2
,,,F13b,,paragneiss,89.986095,27.29079,881,4.1,,,0.75,,,,,AFT,Grujic_2006(Geology)*2
,,,F11,,pegmatite,90.036966,27.26311,710,5.3,,,1,,,,,AFT,Grujic_2006(Geology)*2
,,,F12,,gneiss,90.07618,27.032043,361,2,,,0.4,,,,,AFT,Grujic_2006(Geology)*2
,,,BU11-02,,paragneiss,89.5565,27.0663,1545,11,,,0.035,,,,,MAr,McQuarrie_2014(E&P_Science_Letters)
,,,BU11-04,,paragneiss,89.54356,27.14964,2255,11.66,,,0.1,,,,,MAr,McQuarrie_2014(E&P_Science_Letters)
,,,WC-1,,detrital muscovite ,89.63,27.5945,2600,11.61,,,0.33,,,,,MAr,Tshering_2007(PhD thesis)*3
,,,WC-2,,detrital muscovite ,89.6315,27.5888,2587,11.73,,,0.62,,,,,MAr,Tshering_2007(PhD thesis)*3
,,,WC-3,,detrital muscovite ,89.6388,27.5728,2502,11.74,,,0.72,,,,,MAr,Tshering_2007(PhD thesis)*3
,,,WC-4,,detrital muscovite ,89.6498,27.5363,2425,11.51,,,0.655,,,,,MAr,Tshering_2007(PhD thesis)*3
,,,WC-5,,detrital muscovite ,89.6412,27.5007,2335,10.57,,,0.58,,,,,MAr,Tshering_2007(PhD thesis)*3
,,,BT0987,,pelitic schist,89.51972,27.4652,2805,9.689,,,0.019,,,,,MAr,Adams_2015(Tectonics)
,,,BT0988,,orthogneiss,89.52432,27.44978,2655,9.451,,,0.0155,,,,,MAr,Adams_2015(Tectonics)
,,,BT0989,,pelitic schist,89.55662,27.42062,2405,9.576,,,0.045,,,,,MAr,Adams_2015(Tectonics)
,,,BT0988,,orthogneiss,89.52432,27.44978,2655,9.835,,,0.012,,,,,BAr,Adams_2015(Tectonics)
,,,BT0989,,pelitic schist,89.55662,27.42062,2405,8.66,,,0.0135,,,,,BAr,Adams_2015(Tectonics)
,,,BH406,,migmatite,89.82001,27.52181,1700,10.6,,,1.4,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BH408,,micaschist,89.7538,27.50177,2625,8.1,,,1,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BH409,,gneiss,89.76088,27.48373,2910,11.3,,,0.9,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BH411,,migmatite,89.41996,27.46156,2339,8.1,,,0.9,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BH412,,gneiss,89.41937,27.45803,2480,7.9,,,1.1,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BH413,,quartzite,89.47229,27.34339,2320,10.3,,,0.8,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BH415,,migmatite,89.74973,27.49078,3123,11.2,,,0.8,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BH424,,quartzite,89.42762,27.38741,2500,9.3,,,1,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BH426,,quartzite,89.37143,27.37223,3390,10,,,1.1,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BH428,,quartzite,89.84515,27.377,3675,13.5,,,1.6,,,,,ZFT,Coutland_2014(AGU_Publications)
,,,BT0987,,pelitic schist,89.51972,27.4652,2805,5.89,,,0.19,,,,,AHe,Adams_2015(Tectonics)
,,,BT0988,,orthogneiss,89.52432,27.44978,2655,5.9,,,0.495,,,,,AHe,Adams_2015(Tectonics)
,,,BT0989,,pelitic schist,89.55662,27.42062,2405,6.4,,,0.9,,,,,AHe,Adams_2015(Tectonics)
,,,BH163,,migmatite,89.58878,28.06583,4177,5.7,,,0.8,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH409,,gneiss,89.76088,27.48373,2910,5.4,,,0.6,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH689,,migmatite,89.58826,28.06487,4125,3.2,,,0.4,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BH161,,migmatite,89.51372,28.02333,4086,5.5,,,3.3,,,,,AHe,Coutland_2014(AGU_Publications)
,,,BHF04,,augengneiss,89.45933,26.90723,1751,3.7,,,0.7,,,,,AHe,Coutland_2014(AGU_Publications)
,,,F09,,gneiss,89.796,27.5124,1953,2.9,,,0.2,,,,,AHe,Coutland_2014(AGU_Publications)
