X,topo,data_AFT,data_AFT_1SE,data_Zhe,data_Zhe_1SE,data_ArAr,data_ArAr_1SE,AFT_model,Zhe_model,Ar_Ar_model
311,4.678,,,,,,,51.5588,49.2451,50
312,4.678,,,,,,,53.2199,49.2451,50
313,4.678,,,,,,,53.2199,49.2451,50
314,4.678,,,,,,,51.5588,49.2451,50
315,4.678,,,,,,,51.5588,49.2451,50
316,4.678,,,,,,,51.5588,49.2451,50
317,4.678,,,,,,,53.2199,49.2451,50
318,4.678,,,,,,,53.2199,49.2451,50
319,4.678,,,,,,,53.2199,49.2451,50
320,4.678,,,,,,,51.5588,49.2451,50
321,4.678,,,,,,,51.5588,49.2451,50
322,4.678,,,,,,,53.2199,49.2451,50
323,4.678,,,,,,,53.2199,49.2451,50
324,4.678,,,,,,,51.5588,49.2451,50
325,4.678,,,,,,,51.5588,49.2451,50
326,4.678,,,,,,,51.5588,49.2451,50
327,4.678,,,,,,,53.2199,49.2451,50
328,4.678,,,,,,,51.5588,49.2451,50
329,4.678,,,,,,,51.5588,49.2451,50
330,4.678,,,,,,,51.5588,49.2451,50
331,4.678,,,,,,,53.2199,49.2451,50
332,4.678,,,,,,,53.2199,49.2451,50
333,4.678,,,,,,,53.2199,49.2451,50
334,4.678,,,,,,,51.5588,49.2451,50
335,4.678,,,,,,,51.5588,49.2451,50
336,4.678,,,,,,,51.5588,49.2451,50
337,4.678,,,,,,,53.2199,49.2451,50
338,4.678,,,,,,,51.5588,49.2451,50
339,4.678,,,,,,,51.5588,49.2451,50
340,4.678,,,,,,,51.5588,49.2451,50
341,4.678,,,,,,,53.2199,49.2451,50
342,4.678,,,,,,,51.5588,49.2451,50
343,4.678,,,,,,,53.2199,49.2451,50
344,4.678,,,,,,,53.2199,49.2451,50
345,4.678,,,,,,,53.2199,49.2451,50
346,4.678,,,,,,,53.2199,49.2451,50
347,4.678,,,,,,,51.5588,49.2451,50
348,4.678,,,,,,,51.5588,49.2451,50
349,4.678,,,,,,,53.2199,49.2451,50
350,4.678,,,,,,,53.2199,49.2451,50
351,4.678,,,,,,,53.2199,49.2451,50
352,4.678,,,,,,,53.2199,49.2451,50
353,4.678,,,,,,,53.2199,49.2451,50
354,4.678,,,,,,,51.5588,49.2451,50
355,4.678,,,,,,,51.5588,49.2451,50
356,4.678,,,,,,,53.2199,49.2451,50
357,4.678,,,,,,,53.2199,49.2451,50
358,4.678,,,,,,,53.2199,49.2451,50
359,4.678,,,,,,,53.2199,49.2451,50
360,4.678,,,,,,,51.5588,49.2451,50
361,4.678,,,,,,,51.5588,49.2451,50
362,4.678,,,,,,,53.2199,49.2451,50
363,4.678,,,,,,,53.2199,49.2451,50
364,4.678,,,,,,,51.5588,49.2451,50
365,4.678,,,,,,,51.5588,49.2451,50
366,4.678,,,,,,,53.2199,49.2451,50
367,4.678,,,,,,,53.2199,49.2451,50
368,4.678,,,,,,,53.2199,49.2451,50
369,4.678,,,,,,,51.5588,49.2451,50
370,4.678,,,,,,,51.5588,49.2451,50
371,4.678,,,,,,,53.2199,49.2451,50
372,4.678,,,,,,,53.2199,49.2451,50
373,4.678,,,,,,,53.2199,49.2451,50
374,4.678,,,,,,,51.5588,49.2451,50
375,4.678,,,,,,,51.5588,49.2451,50
376,4.678,,,,,,,53.2199,49.2451,50
377,4.678,,,,,,,53.2199,49.2451,50
378,4.678,,,,,,,53.2199,49.2451,50
379,4.678,,,,,,,51.5588,49.2451,50
380,4.678,,,,,,,51.5588,49.2451,50
381,4.678,,,,,,,53.2199,49.2451,50
382,4.678,,,,,,,53.2199,49.2451,50
383,4.678,,,,,,,53.2199,49.2451,50
384,4.678,,,,,,,51.5588,49.2451,50
385,4.678,,,,,,,51.5588,49.2451,50
386,4.678,,,,,,,53.2199,49.2451,50
387,4.678,,,,,,,53.2199,49.2451,50
388,4.678,,,,,,,53.2199,49.2451,50
389,4.678,,,,,,,51.5588,49.2451,50
390,4.678,,,,,,,51.5588,49.2451,50
391,4.678,,,,,,,53.2199,49.2451,50
392,4.678,,,,,,,53.2199,49.2451,50
393,4.678,,,,,,,53.2199,49.2451,50
394,4.678,,,,,,,51.5588,49.2451,50
395,4.678,,,,,,,51.5588,49.2451,50
396,4.678,,,,,,,53.2199,49.2451,50
397,4.678,,,,,,,53.2199,49.2451,50
398,4.678,,,,,,,53.2199,49.2451,50
399,4.678,,,,,,,53.2199,49.2451,50
400,4.678,,,,,,,51.5588,49.2451,50
401,4.678,,,,,,,51.5588,49.2451,50
402,4.678,,,,,,,53.2199,49.2451,50
403,4.678,,,,,,,53.2199,49.2451,50
404,4.678,,,,,,,53.2199,49.2451,50
405,4.678,,,,,,,51.5588,49.2451,50
406,4.678,,,,,,,51.5588,49.2451,50
407,4.678,,,,,,,53.2199,49.2451,50
408,4.678,,,,,,,53.2199,49.2451,50
409,4.678,,,,,,,53.2199,49.2451,50
410,4.678,,,,,,,53.2199,49.2451,50
411,4.678,,,,,,,51.5588,49.2451,50
412,4.678,,,,,,,51.5588,49.2451,50
413,4.678,,,,,,,53.2199,49.2451,50
414,4.678,,,,,,,53.2199,49.2451,50
415,4.678,,,,,,,53.2199,49.2451,50
416,4.678,,,,,,,51.5588,49.2451,50
417,4.678,,,,,,,51.5588,49.2451,50
418,4.678,,,,,,,53.2199,49.2451,50
419,4.678,,,,,,,53.2199,49.2451,50
420,4.678,,,,,,,53.2199,49.2451,50
421,4.678,,,,,,,53.2199,49.2451,50
422,4.678,,,,,,,51.5588,49.2451,50
423,4.678,,,,,,,51.5588,49.2451,50
424,4.678,,,,,,,53.2199,49.2451,50
425,4.678,,,,,,,53.2199,49.2451,50
426,4.678,,,,,,,53.2199,49.2451,50
427,4.678,,,,,,,51.5588,49.2451,50
428,4.678,,,,,,,51.5588,49.2451,50
429,4.678,,,,,,,53.2199,49.2451,50
430,4.678,,,,,,,53.2199,49.2451,50
431,4.678,,,,,,,53.2199,49.2451,50
432,4.678,,,,,,,51.5588,49.2451,50
433,4.678,,,,,,,51.5588,49.2451,50
434,4.678,,,,,,,51.5588,49.2451,50
435,4.678,,,,,,,53.2199,49.2451,50
436,4.678,,,,,,,53.2199,49.2451,50
437,4.678,,,,,,,51.5588,49.2451,50
438,4.678,,,,,,,51.5588,49.2451,50
439,4.678,,,,,,,53.2199,49.2451,50
440,4.678,,,,,,,53.2199,49.2451,50
